Series_Title,Released_Year,Certificate,Runtime (min),Genre,IMDB_Rating,Meta_score,Director,Gross
The Deer Hunter,1978,A,183,Drama ,8.1,86,Michael Cimino,"48,979,328"
Rocky,1976,U,120,Drama ,8.1,70,John G. Avildsen,"117,235,247"
Network,1976,UA,121,Drama,8.1,83,Sidney Lumet,
Barry Lyndon,1975,PG,185,Adventure ,8.1,89,Stanley Kubrick,
Zerkalo,1975,G,107,Biography ,8.1,,Andrei Tarkovsky,"177,345"
Chinatown,1974,UA,130,Drama ,8.1,92,Roman Polanski,"29,000,000"
Paper Moon,1973,U,102,Comedy ,8.1,77,Peter Bogdanovich,"30,933,743"
Viskningar och rop,1972,A,91,Drama,8.1,,Ingmar Bergman,"1,742,348"
Solaris,1972,PG,167,Drama ,8.1,90,Andrei Tarkovsky,
Le samouraï,1967,GP,105,Crime ,8.1,,Jean-Pierre Melville,"39,481"
Cool Hand Luke,1967,A,127,Crime ,8.1,92,Stuart Rosenberg,"16,217,773"
Persona,1966,,85,Drama ,8.1,86,Ingmar Bergman,
Andrei Rublev,1966,R,205,Biography ,8.1,,Andrei Tarkovsky,"102,021"
La battaglia di Algeri,1966,,121,Drama ,8.1,96,Gillo Pontecorvo,"55,908"
El ángel exterminador,1962,,95,Drama ,8.1,,Luis Buñuel,
What Ever Happened to Baby Jane?,1962,Passed,134,Drama ,8.1,75,Robert Aldrich,"4,050,000"
Sanjuro,1962,U,96,Action ,8.1,,Akira Kurosawa,
The Man Who Shot Liberty Valance,1962,,123,Drama ,8.1,94,John Ford,
Ivanovo detstvo,1962,,95,Drama ,8.1,,Andrei Tarkovsky,
Jungfrukällan,1960,A,89,Drama,8.1,,Ingmar Bergman,"1,526,000"
Inherit the Wind,1960,Passed,128,Biography ,8.1,75,Stanley Kramer,
Les quatre cents coups,1959,,99,Crime ,8.1,,François Truffaut,
Ben-Hur,1959,U,212,Adventure ,8.1,90,William Wyler,"74,700,000"
Kakushi-toride no san-akunin,1958,,139,Adventure ,8.1,,Akira Kurosawa,
Le notti di Cabiria,1957,,110,Drama,8.1,,Federico Fellini,"752,045"
Kumonosu-jô,1957,,110,Drama ,8.1,,Akira Kurosawa,
The Bridge on the River Kwai,1957,PG,161,Adventure ,8.1,87,David Lean,"44,908,000"
On the Waterfront,1954,A,108,Crime ,8.1,91,Elia Kazan,"9,600,000"
Le salaire de la peur,1953,U,131,Adventure ,8.1,85,Henri-Georges Clouzot,
Ace in the Hole,1951,Approved,111,Drama ,8.1,72,Billy Wilder,"3,969,893"
White Heat,1949,,114,Action ,8.1,,Raoul Walsh,
The Third Man,1949,Approved,104,Film-Noir ,8.1,97,Carol Reed,"449,191"
The Red Shoes,1948,,135,Drama ,8.1,,Michael Powell,"10,900,000"
The Shop Around the Corner,1940,,99,Comedy ,8.1,96,Ernst Lubitsch,"203,300"
Rebecca,1940,Approved,130,Drama ,8.1,86,Alfred Hitchcock,"4,360,000"
Mr. Smith Goes to Washington,1939,Passed,129,Comedy ,8.1,73,Frank Capra,"9,600,000"
Gone with the Wind,1939,U,238,Drama ,8.1,97,Victor Fleming,"198,676,459"
La Grande Illusion,1937,,113,Drama ,8.1,,Jean Renoir,"172,885"
It Happened One Night,1934,Approved,105,Comedy ,8.1,87,Frank Capra,"4,360,000"
La passion de Jeanne d'Arc,1928,Passed,110,Biography ,8.1,,Carl Theodor Dreyer,"21,877"
The Circus,1928,Passed,72,Comedy ,8.1,90,Charles Chaplin,
Sunrise: A Song of Two Humans,1927,Passed,94,Drama ,8.1,,F.W. Murnau,"539,540"
The General,1926,Passed,67,Action ,8.1,,Clyde Bruckman,"1,033,895"
Das Cabinet des Dr. Caligari,1920,,76,Fantasy ,8.1,,Robert Wiene,
Badhaai ho,2018,UA,124,Comedy ,8,,Amit Ravindernath Sharma,
Togo,2019,U,113,Adventure ,8,69,Ericson Core,
Airlift,2016,UA,130,Drama ,8,,Raja Menon,
